statement,label
The giant anteater uses walking for locomotion.,1
The eagle has a habitat of urban/wild.,0
The tortoise has an iridescent tail with eye-like patterns used in courtship displays.,0
"Human uses for hyena include conservation, research.",0
The platypus uses swimming for locomotion.,1
The salmon is a fish.,1
The aardvark has a diet of insectivore.,1
The beaver has a habitat of forest/grassland.,0
The penguin has a habitat of marine/polar.,1
The whale uses swimming for locomotion.,1
The dog has a strong sense of smell and is known for its loyalty to humans.,1
The gazelle has distinctive orange and black stripes and is an apex predator.,0
"The octopus is a small, social bird that can be found in many urban environments.",0
The iguana has a diet of herbivore.,1
"The whale is the largest animal on earth, with some species using baleen plates to filter food from water.",1
The frog has the atomic number of bird.,0
"The iguana is the fastest land animal, reaching speeds up to 60-70 mph.",0
The lobster is a crustacean.,1
"The aardvark has humps that store fat, which can be metabolized for energy and water during long treks.",0
The panda has a diet of herbivore.,1
"Human uses for cheetah include conservation, research, zoos.",1
The jellyfish uses walking/swimming for locomotion.,0
The raccoon is a mammal.,1
The swan uses walking for locomotion.,0
The octopus uses swimming for locomotion.,1
The crocodile has a habitat of freshwater.,1
The zebra uses flying for locomotion.,0
The horse is a mammal.,1
The kangaroo has a habitat of savanna.,0
The giant anteater has the atomic number of fish.,0
The crocodile uses walking for locomotion.,0
The gazelle uses running for locomotion.,1
"The narwhal has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths.",1
The frog uses jumping for locomotion.,1
The pigeon has a habitat of desert.,0
The aardvark has the atomic number of fish.,0
The deer has a habitat of forest/grassland.,1
The squirrel has a habitat of marine.,0
The polar bear has a habitat of polar.,1
The hummingbird is a bird.,1
The armadillo is a mammal.,1
The hamster has a powerful bite and can go without food for long periods of time.,0
The armadillo has a diet of insectivore.,1
The bee has the atomic number of bird.,0
The llama has a diet of herbivore.,1
The zebra is a fast swimmer and can maintain high speeds for extended periods of time.,0
The tuna uses walking for locomotion.,0
"The whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",0
The rat has a diet of omnivore.,1
The raccoon has a habitat of urban/old-world habitats.,0
The sparrow has a diet of omnivore.,1
The leopard uses walking for locomotion.,1
The gorilla is a mammal.,1
The platypus has a diet of  carnivore.,0
The tapir uses walking for locomotion.,1
The tuna has a diet of insectivore.,0
The wolverine has a habitat of arctic/subarctic.,1
The manta ray uses walking for locomotion.,0
The raccoon uses walking for locomotion.,1
"The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",1
The frog has a diet of carnivore.,1
"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1
There are no specific human uses for gazelle.,1
The cheetah is a mammal.,1
The tiger has distinctive orange and black stripes and is an apex predator.,1

